Star-rating,Name,Review Title,Review Content,Date,verified,variant
4.0 out of 5 stars,Sankar swaminathan, Good phone-could have been better !,Good,Reviewed in India 🇮🇳 on 19 December 2022,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,Abhinav, A mildly perfect phone,Nice,Reviewed in India 🇮🇳 on 12 January 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,VENKATARAJU.konduru, Super product,Expensive,Reviewed in India 🇮🇳 on 3 June 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
3.0 out of 5 stars,ramlal damor, Camera,Wide angle camera ki kami h,Reviewed in India 🇮🇳 on 9 March 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Lokesh p., Camera+Betrey,Nice battery+camera is amazing 🤩,Reviewed in India 🇮🇳 on 9 June 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,Amazon Customer, Good one,Phone is good but camera is nit extraordinary but nice,Reviewed in India 🇮🇳 on 8 June 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Bunny, Good product,OnePlus are undoubtedly the best brand in town and this one is worth the purchase.,Reviewed in India 🇮🇳 on 6 March 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,Shafik Kutty, Battery,"Battery is not upto the mark but due to
fast charging it hardly matters...",Reviewed in India 🇮🇳 on 3 February 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Parth Desai, Super 👌,Very nice product 👌,Reviewed in India 🇮🇳 on 10 June 2023,Verified Purchase,
3.0 out of 5 stars,Rahul, No problem as of now,"Quick charged, good quality",Reviewed in India 🇮🇳 on 8 June 2023,Verified Purchase,"Size: 8GB RAM, 128GB StorageColour: Bahamas Blue"
4.0 out of 5 stars,Sonu, Thike hai paisa ke hisaab se,Good,Reviewed in India 🇮🇳 on 6 February 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
1.0 out of 5 stars,Gyan chand singh,worst,not so good,Reviewed in India 🇮🇳 on 5 June 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,Ashish Sati, Good phone,Nice and budget product,Reviewed in India 🇮🇳 on 3 February 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Amit Kumar, Good Phone,Good phone,Reviewed in India 🇮🇳 on 1 June 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,suresh, Good,Good,Reviewed in India 🇮🇳 on 29 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Arzoo, Nice,Nice,Reviewed in India 🇮🇳 on 3 June 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,Imran khan, Mobile,Good,Reviewed in India 🇮🇳 on 7 January 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Hemant yadav, Amazing device in budget,"Phone's battery is good with fast charger.
Features is amazing",Reviewed in India 🇮🇳 on 24 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
2.0 out of 5 stars,Sivakumar, Expensive,Expensive,Reviewed in India 🇮🇳 on 1 June 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Sumeet, Worth it,Camera quality is good otherwise same as other phone,Reviewed in India 🇮🇳 on 28 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,Sameer Patel, Best camera phone under 20k,Really nice phone which I have used yet. Best camera phone under 20k,Reviewed in India 🇮🇳 on 27 January 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Nivetha, Good one,Easy to use .Nice product. Satisfied ♥️,Reviewed in India 🇮🇳 on 27 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Priya T., All all review,The product get hitted easily. Except this over all it is fine,Reviewed in India 🇮🇳 on 22 April 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Kartik, Value buying,Good product,Reviewed in India 🇮🇳 on 29 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,gopal saha, One plus ce2 handset,Worth of money. Featureful. BIt radio app is not inbuilt.,Reviewed in India 🇮🇳 on 25 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,Umesh Chandra Mishra, Smooth functioning,Battery drains fast. Rest is okay,Reviewed in India 🇮🇳 on 25 January 2023,Verified Purchase,
4.0 out of 5 stars,Shubham M., Best product,It's really good quality and smooth to use,Reviewed in India 🇮🇳 on 30 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Amazon Customer, Good product,Nice product.,Reviewed in India 🇮🇳 on 27 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
2.0 out of 5 stars,harshita t., okay,not so good,Reviewed in India 🇮🇳 on 5 June 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Shanmugam Dhandapani, Good,While using apps device is starting heating,Reviewed in India 🇮🇳 on 31 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
2.0 out of 5 stars,FAYAZ AHMED, Not bad,Not bad,Reviewed in India 🇮🇳 on 22 January 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,Vikas Verma, Good in this price,Good.,Reviewed in India 🇮🇳 on 22 March 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
3.0 out of 5 stars,DINESH K., cost high,camera is not compatible is 19000 valu,Reviewed in India 🇮🇳 on 31 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Ajay shah, Smooth kam karta hai,Bahut achcha mobile hai,Reviewed in India 🇮🇳 on 27 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Pawan Yadav, Vallu of money,Verry good working,Reviewed in India 🇮🇳 on 24 January 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,reshma v, 5 stars.,Wow..,Reviewed in India 🇮🇳 on 25 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Amazon Customer, Good phone,Smooth performance and nice battery backup but front camera need improvement as selfies are not crisp enough.,Reviewed in India 🇮🇳 on 10 March 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,Sanu yadav, Good,Good,Reviewed in India 🇮🇳 on 21 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
2.0 out of 5 stars,Amazon Customer, Ok,Ok,Reviewed in India 🇮🇳 on 20 April 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
3.0 out of 5 stars,Om Sai Enterprises, Great but lacks in good processor,Processor in this price range could be better but this happen when you pay for brand value,Reviewed in India 🇮🇳 on 17 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
3.0 out of 5 stars,Saurabh Singh,good,Nice,Reviewed in India 🇮🇳 on 16 April 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Anshul jain, Good,Good phone,Reviewed in India 🇮🇳 on 22 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,Overall all is good but display is not good lcd display., Mid range flagship,"Play Video
 10 days i use this phone battery, performance all is good.",Reviewed in India 🇮🇳 on 5 June 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Jatinder rampal, Good 👍,Good 👍,Reviewed in India 🇮🇳 on 25 February 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
1.0 out of 5 stars,Naveen raj, Worst product,Not nice,Reviewed in India 🇮🇳 on 20 April 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
3.0 out of 5 stars,nimish, Nice,Nice phone,Reviewed in India 🇮🇳 on 20 May 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,V vijay, Good to buy one plus brand.,"Its good mobile to purchase, nice mobile , quality wise also good, battery is getting 24 hours continous when we use with mobile net.",Reviewed in India 🇮🇳 on 9 March 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
4.0 out of 5 stars,Ankit Kumar, Too good,Best product,Reviewed in India 🇮🇳 on 21 January 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Blue Tide"
4.0 out of 5 stars,Salees, Light weight,Light weight and super fast charging,Reviewed in India 🇮🇳 on 19 February 2023,Verified Purchase,"Size: 6GB RAM, 128GB StorageColour: Black Dusk"
